grantee,url,amount,date,program,purpose
Greater Washington Educational Telecommunications Association,https://hewlett.org/grants/greater-washington-educational-telecommunications-association-for-support-of-the-pbs-newshour-4/,1200000,2017-11-13,Special Projects,For Support Of The PBS NewsHour
Rewire,https://hewlett.org/grants/rewire-for-general-operating-support/,900000,2017-11-13,Global Development and Population,For General Operating Support
Gathering For Justice Inc,https://hewlett.org/grants/gathering-for-justice-inc-for-support-of-the-womens-convention/,300000,2017-11-13,Global Development and Population,For Support Of The Women’s Convention
United Nations Foundation,https://hewlett.org/grants/united-nations-foundation-for-continuation-of-data2x/,2100000,2017-11-13,Global Development and Population,For Continuation Of Data2X
SPARK Reproductive Justice Now!,https://hewlett.org/grants/spark-reproductive-justice-now-for-the-southeast-alliance-for-reproductive-empowerment-project/,250000,2017-11-13,Global Development and Population,For The Southeast Alliance For Reproductive Empowerment Project
MSI-US,https://hewlett.org/grants/msi-us-for-support-of-human-centered-design-in-rural-kenya/,1500000,2017-11-13,Global Development and Population,For Support Of Human-centered Design In Rural Kenya
New Venture Fund,https://hewlett.org/grants/new-venture-fund-for-support-of-the-vision-first-project-0/,1500000,2017-11-13,Global Development and Population,For Support Of The Vision First Project
European Climate Foundation,https://hewlett.org/grants/european-climate-foundation-for-general-operating-support/,16750000,2017-11-13,Environment,For General Operating Support
Oxfam America,https://hewlett.org/grants/oxfam-america-for-a-program-to-support-citizen-engagement-in-extractive-industry-and-budget-processes-in-senegal/,800000,2017-11-13,Global Development and Population,For A Program To Support Citizen Engagement In Extractive Industry And Budget Processes In Senegal
Memphis Center For Reproductive Health,https://hewlett.org/grants/memphis-center-for-reproductive-health-for-healthy-and-free-tennessees-southeast-alliance-for-reproductive-empowerment-project/,250000,2017-11-13,Global Development and Population,For Healthy And Free Tennessee's Southeast Alliance For Reproductive Empowerment Project
National Center for Civic Innovation,https://hewlett.org/grants/national-center-for-civic-innovation-for-a-program-to-strengthen-international-data-collaboratives-and-increase-responsible-data-sharing/,600000,2017-11-13,Global Development and Population,For A Program To Strengthen International Data Collaboratives And Increase Responsible Data Sharing
Center For Election Innovation & Research,https://hewlett.org/grants/center-for-election-innovation-research-for-general-operating-support/,500000,2017-11-13,Madison Initiative,For General Operating Support
Tides Center,https://hewlett.org/grants/tides-center-for-support-of-womens-global-movement/,1000000,2017-11-13,Global Development and Population,For Support Of Women's Global Movement
Amref Health Africa,https://hewlett.org/grants/amref-health-africa-for-support-of-the-advocacy-accelerator-0/,1500000,2017-11-13,Global Development and Population,For Support Of The Advocacy Accelerator
EngenderHealth,https://hewlett.org/grants/engenderhealth-for-support-of-engenderhealths-programs-and-strategy-in-west-africa/,500000,2017-11-13,Global Development and Population,For Support Of EngenderHealth's Programs And Strategy In West Africa
European Climate Foundation,https://hewlett.org/grants/european-climate-foundation-for-support-of-shareaction-and-transport-and-environment/,500000,2017-11-13,Environment,For Support Of ShareAction And Transport And Environment
"Global Health Corps, Inc.",https://hewlett.org/grants/global-health-corps-inc-for-support-to-improve-an-online-portal-for-alumni/,45000,2017-11-13,Global Development and Population,For Support To Improve An Online Portal For Alumni
College to Congress,https://hewlett.org/grants/college-to-congress-for-general-operating-support/,600000,2017-11-13,Madison Initiative,For General Operating Support
Population Services International,https://hewlett.org/grants/population-services-international-for-support-to-redesign-an-operating-model/,50000,2017-11-13,Global Development and Population,For Support To Redesign An Operating Model
National Network of Abortion Funds,https://hewlett.org/grants/national-network-of-abortion-funds-for-general-operating-support/,900000,2017-11-13,Global Development and Population,For General Operating Support
Energy Innovation,https://hewlett.org/grants/energy-innovation-for-the-advanced-analysis-to-accelerate-power-sector-decarbonization-project/,250000,2017-11-13,Environment,For The Advanced Analysis To Accelerate Power Sector Decarbonization Project
Women’s Rights and Empowerment Network,https://hewlett.org/grants/womens-rights-and-empowerment-network-for-the-southeast-alliance-for-reproductive-empowerment-project/,250000,2017-11-13,Global Development and Population,For The Southeast Alliance For Reproductive Empowerment Project
Centro de Investigaciones y Estudios Superiores en Antropología Social,https://hewlett.org/grants/centro-de-investigaciones-y-estudios-superiores-en-antropologia-social-for-communications-and-fundraising-strategy/,20000,2017-11-13,Global Development and Population,For Communications And Fundraising Strategy
Citizens for Responsible Energy Solutions Forum,https://hewlett.org/grants/citizens-for-responsible-energy-solutions-forum-for-state-based-clean-energy-work/,400000,2017-11-13,Environment,For State Based Clean Energy Work
Center for Strategic and International Studies,https://hewlett.org/grants/center-for-strategic-and-international-studies-for-support-of-a-family-planning-policy-working-group/,400000,2017-11-13,Global Development and Population,For Support Of A Family Planning Policy Working Group
American Friends Service Committee,https://hewlett.org/grants/american-friends-service-committee-for-general-operating-support/,160000,2017-11-11,Special Projects,For General Operating Support
Marin Cultural Association,https://hewlett.org/grants/marin-cultural-association-for-cultural-planning/,50000,2017-11-10,Performing Arts,For Cultural Planning
Pembina Foundation for Environmental Research and Education,https://hewlett.org/grants/pembina-foundation-for-environmental-research-and-education-for-building-canadas-clean-growth-economy/,250000,2017-11-10,Environment,For Building Canada's Clean Growth Economy
Humboldt Area Foundation,https://hewlett.org/grants/humboldt-area-foundation-for-native-cultures-fund-evaluation-and-strategic-planning/,54170,2017-11-10,Performing Arts,For Native Cultures Fund Evaluation And Strategic Planning
"Envision Education, Inc.",https://hewlett.org/grants/envision-education-inc-for-development-of-a-communications-strategy/,50000,2017-11-09,Education,For Development Of A Communications Strategy
Jobs for the Future,https://hewlett.org/grants/jobs-for-the-future-for-analysis-forums-and-dissemination-of-research-and-models-of-policy-innovation-1/,300000,2017-11-08,Education,"For Analysis, Forums, And Dissemination Of Research And Models Of Policy Innovation"
The Nonprofit Information Networking Association dba The Nonprofit Quarterly,https://hewlett.org/grants/the-nonprofit-information-networking-association-dba-the-nonprofit-quarterly-for-exploring-partnership-opportunities-between-tiny-spark-and-npq/,125000,2017-11-08,Effective Philanthropy,For Exploring Partnership Opportunities Between Tiny Spark And NPQ
New Venture Fund,https://hewlett.org/grants/new-venture-fund-for-the-alaska-heritage-campaign/,100000,2017-11-08,Environment,For The Alaska Heritage Campaign
Anti-Defamation League,https://hewlett.org/grants/anti-defamation-league-for-general-operating-support/,200000,2017-11-08,Special Projects,For General Operating Support
CLASP,https://hewlett.org/grants/clasp-for-general-operating-support-0/,400000,2017-11-08,Environment,For General Operating Support
Rocky Mountain Institute,https://hewlett.org/grants/rocky-mountain-institute-for-support-of-power-market-reform-in-china/,500000,2017-11-07,Environment,For Support Of Power Market Reform In China
ClimateWorks Foundation,https://hewlett.org/grants/climateworks-foundation-for-the-energy-innovation-project/,590000,2017-11-07,Environment,For The Energy Innovation Project
Alliance for Justice,https://hewlett.org/grants/alliance-for-justice-for-the-bolder-advocacy-project-3/,70000,2017-11-07,Special Projects,For The Bolder Advocacy Project
World Wildlife Fund Inc.,https://hewlett.org/grants/world-wildlife-fund-inc-for-we-are-still-in-and-sub-national-pavilion-at-cop-23-bonn/,150000,2017-11-07,Environment,For We Are Still In And Sub-national Pavilion At COP 23 Bonn
Saint Mary's University of Minnesota,https://hewlett.org/grants/saint-marys-university-of-minnesota-for-gis-mapping/,75000,2017-11-07,Environment,For GIS Mapping
Western Resource Advocates,https://hewlett.org/grants/western-resource-advocates-for-the-western-lands-program/,300000,2017-11-07,Environment,For The Western Lands Program
Western Landowners Alliance,https://hewlett.org/grants/western-landowners-alliance-for-general-operating-support/,100000,2017-11-07,Environment,For General Operating Support
Colorado College,https://hewlett.org/grants/colorado-college-for-public-opinion-research-4/,232000,2017-11-07,Environment,For Public Opinion Research
Niskanen Center,https://hewlett.org/grants/niskanen-center-for-climate-policy-and-litigation-program/,300000,2017-11-07,Environment,For Climate Policy And Litigation Program
Georgetown University,https://hewlett.org/grants/georgetown-university-for-georgetown-climate-centers-clean-energy-and-transportation-program/,600000,2017-11-07,Environment,For Georgetown Climate Center's Clean Energy And Transportation Program
California League of Conservation Voters Education Fund,https://hewlett.org/grants/california-league-of-conservation-voters-education-fund-for-general-operating-support-1/,20000,2017-11-07,Environment,For General Operating Support
Gridworks,https://hewlett.org/grants/gridworks-for-the-pacific-state-joint-power-planning-and-resource-adequacy-framework-project/,150000,2017-11-07,Environment,For The Pacific State Joint Power Planning And Resource Adequacy Framework Project
Partnership Project,https://hewlett.org/grants/partnership-project-for-the-climate-advocacy-lab-and-methane-partners-campaign/,700000,2017-11-07,Environment,For The Climate Advocacy Lab And Methane Partners Campaign
Energy Innovation Reform Project,https://hewlett.org/grants/energy-innovation-reform-project-for-strategic-development-and-executive-coaching/,50000,2017-11-07,Environment,For Strategic Development And Executive Coaching
Publish What You Pay,https://hewlett.org/grants/publish-what-you-pay-for-evidence-on-gender-in-the-extractive-industries-transparency-initiative/,300000,2017-11-06,Global Development and Population,For Evidence On Gender In The Extractive Industries Transparency Initiative
New York University,https://hewlett.org/grants/new-york-university-for-support-of-the-center-for-cyber-security-0/,10300,2017-11-06,Cyber,For Support Of The Center For Cyber Security
Grupo de Información en Reproducción Elegida,https://hewlett.org/grants/grupo-de-informacion-en-reproduccion-elegida-for-professional-development-and-strategic-planning/,20000,2017-11-06,Global Development and Population,For Professional Development And Strategic Planning
"NAACP Legal Defense and Educational Fund, Inc.",https://hewlett.org/grants/naacp-legal-defense-and-educational-fund-inc-for-support-of-leadership-training/,75000,2017-11-05,Education,For Support Of Leadership Training
American Youth Policy Forum,https://hewlett.org/grants/american-youth-policy-forum-for-legislative-tours-of-deeper-learning-schools-1/,480000,2017-11-05,Education,For Legislative Tours Of Deeper Learning Schools
"International Planned Parenthood Federation Worldwide, Inc.",https://hewlett.org/grants/international-planned-parenthood-federation-worldwide-inc-for-support-of-african-member-associations/,1000000,2017-11-04,Global Development and Population,For Support Of African Member Associations
MSI-US,https://hewlett.org/grants/msi-us-for-support-of-human-centered-design-collaboration-in-zambia-0/,50000,2017-11-04,Global Development and Population,For Support Of Human-centered Design Collaboration In Zambia
National Trust for Historic Preservation in the United States,https://hewlett.org/grants/national-trust-for-historic-preservation-in-the-united-states-for-the-african-american-cultural-heritage-action-fund/,250000,2017-11-03,Special Projects,For The African American Cultural Heritage Action Fund
National Partnership for Women and Families,https://hewlett.org/grants/national-partnership-for-women-and-families-for-support-of-the-reproductive-health-and-rights-program/,400000,2017-11-03,Global Development and Population,For Support Of The Reproductive Health And Rights Program
Institute for Multi-Stakeholder Initiative Integrity,https://hewlett.org/grants/institute-for-multi-stakeholder-initiative-integrity-for-general-operating-support-0/,500000,2017-11-02,Global Development and Population,For General Operating Support
Open Knowledge Foundation,https://hewlett.org/grants/open-knowledge-foundation-for-general-operating-support/,800000,2017-11-02,Global Development and Population,For General Operating Support
Media Foundation for West Africa,https://hewlett.org/grants/media-foundation-for-west-africa-for-a-project-to-enhance-public-participation-and-accountability-in-governance-through-media/,300000,2017-11-02,Global Development and Population,For A Project To Enhance Public Participation And Accountability In Governance Through Media
Open Knowledge Foundation,https://hewlett.org/grants/open-knowledge-foundation-for-general-operating-support/,800000,2017-11-02,Global Development and Population,For General Operating Support
"International Initiative for Impact Evaluation, Inc.",https://hewlett.org/grants/international-initiative-for-impact-evaluation-inc-for-support-of-3ies-west-africa-capacity-building-and-impact-evaluation-initiative/,940000,2017-11-02,Global Development and Population,For Support Of 3ie's West Africa Capacity Building And Impact Evaluation Initiative
Breakthrough Institute,https://hewlett.org/grants/breakthrough-institute-for-general-operating-support/,250000,2017-11-02,Initiatives Date Awarded 11/2/2017 Term 24 Months Type of Support General Support/Organization Strategies Madison Initiative,For General Operating Support
Proteus Fund Inc,https://hewlett.org/grants/proteus-fund-inc-for-the-transparency-accountability-participation-network/,150000,2017-11-02,Global Development and Population,"For The Transparency, Accountability & Participation Network"
Center for a New American Security,https://hewlett.org/grants/center-for-a-new-american-security-for-a-project-to-counter-foreign-efforts-to-undermine-democratic-institutions/,100000,2017-10-31,Cyber,For A Project To Counter Foreign Efforts To Undermine Democratic Institutions
Washington Monthly,https://hewlett.org/grants/washington-monthly-for-general-operating-support-0/,450000,2017-10-31,Madison Initiative,For General Operating Support
New Venture Fund,https://hewlett.org/grants/new-venture-fund-for-climate-and-clean-energy-state-equity-fund/,1200000,2017-10-30,Environment,For Climate And Clean Energy State Equity Fund
Trips for Kids Marin,https://hewlett.org/grants/trips-for-kids-marin-for-general-operating-support-3/,100000,2017-10-30,Environment,For General Operating Support
R Street Institute,https://hewlett.org/grants/r-street-institute-for-advancing-a-free-market-clean-energy-agenda-1/,200000,2017-10-30,Environment,For Advancing A Free-market Clean Energy Agenda
Sonoma County Economic Development Board Foundation,https://hewlett.org/grants/sonoma-county-economic-development-board-foundation-for-the-creative-sonoma-recovery-fund/,100000,2017-10-30,Performing Arts,For The Creative Sonoma Recovery Fund
Clean Air Council,https://hewlett.org/grants/clean-air-council-for-building-grassroots-capacity-to-reduce-methane-emissions-in-pennsylvania/,75000,2017-10-30,Environment,For Building Grassroots Capacity To Reduce Methane Emissions In Pennsylvania
Tides Center,https://hewlett.org/grants/tides-center-for-the-lawyering-projects-partnership-for-abortion-care/,539000,2017-10-28,Global Development and Population,For The Lawyering Project's Partnership For Abortion Care
"Centro de Investigación Económica y Presupuestaria, A.C.",https://hewlett.org/grants/centro-de-investigacion-economica-y-presupuestaria-a-c-for-strategic-planning-0/,25000,2017-10-28,Global Development and Population,For Strategic Planning
Tides Center,https://hewlett.org/grants/tides-center-for-the-national-asian-pacific-american-womens-forum-project/,300000,2017-10-28,Global Development and Population,For The National Asian Pacific American Women's Forum Project
Whole Woman's Health Alliance,https://hewlett.org/grants/whole-womans-health-alliance-for-the-partnership-for-abortion-care-project/,660000,2017-10-28,Global Development and Population,For The Partnership For Abortion Care Project
Jane's Due Process Inc,https://hewlett.org/grants/janes-due-process-inc-for-the-partnership-for-abortion-care-project/,301000,2017-10-28,Global Development and Population,For The Partnership For Abortion Care Project
University of North Carolina at Chapel Hill,https://hewlett.org/grants/university-of-north-carolina-at-chapel-hill-for-support-of-the-university-of-north-carolinas-transfer-project/,690000,2017-10-28,Global Development and Population,For Support Of The University Of North Carolina's Transfer Project
In Our Own Voice National Black Womens Reproductive Justice Agenda,https://hewlett.org/grants/in-our-own-voice-national-black-womens-reproductive-justice-agenda-for-general-operating-support/,450000,2017-10-28,Global Development and Population,For General Operating Support
Emerging Markets Investors Alliance,https://hewlett.org/grants/emerging-markets-investors-alliance-for-a-program-to-train-emerging-market-investors-to-support-and-advocate-for-good-governance/,150000,2017-10-28,Global Development and Population,For A Program To Train Emerging Market Investors To Support And Advocate For Good Governance
Arts for LA,https://hewlett.org/grants/arts-for-la-for-general-operating-support-0/,50000,2017-10-25,Performing Arts,For General Operating Support
La Pocha Nostra,https://hewlett.org/grants/la-pocha-nostra-for-general-operating-support-0/,60000,2017-10-24,Performing Arts,For General Operating Support
Chhandam Chitresh Das Dance Company,https://hewlett.org/grants/chhandam-chitresh-das-dance-company-for-general-operating-support-2/,70000,2017-10-24,Performing Arts,For General Operating Support
RYSE Center,https://hewlett.org/grants/ryse-center-for-the-ryse-commons-capital-project/,250000,2017-10-24,Performing Arts,For The RYSE Commons Capital Project
Afsaneh Art & Culture Society - Ballet Afsaneh,https://hewlett.org/grants/afsaneh-art-culture-society-ballet-afsaneh-for-general-operating-support-1/,75000,2017-10-24,Performing Arts,For General Operating Support
Ninth Street Media Consortium,https://hewlett.org/grants/ninth-street-media-consortium-for-general-operating-support-2/,20000,2017-10-24,Performing Arts,For General Operating Support
"Friends of Olympia Station, Inc.",https://hewlett.org/grants/friends-of-olympia-station-inc-for-general-operating-support-0/,75000,2017-10-24,Performing Arts,For General Operating Support
Bandaloop,https://hewlett.org/grants/bandaloop-for-general-operating-support-2/,105000,2017-10-24,Performing Arts,For General Operating Support
Humboldt Area Foundation,https://hewlett.org/grants/humboldt-area-foundation-for-the-native-cultures-fund-1/,150000,2017-10-24,Performing Arts,For The Native Cultures Fund
Zohar Dance Company,https://hewlett.org/grants/zohar-dance-company-for-general-operating-support-1/,75000,2017-10-24,Performing Arts,For General Operating Support
Dimensions Dance Theater,https://hewlett.org/grants/dimensions-dance-theater-for-general-operating-support-1/,150000,2017-10-24,Performing Arts,For General Operating Support
Loco Bloco Drum and Dance Ensemble,https://hewlett.org/grants/loco-bloco-drum-and-dance-ensemble-for-general-operating-support-1/,195000,2017-10-24,Performing Arts,For General Operating Support
Intertribal Friendship House,https://hewlett.org/grants/intertribal-friendship-house-for-the-intertribal-friendship-house-cultural-arts-programming/,90000,2017-10-24,Performing Arts,For The Intertribal Friendship House Cultural Arts Programming
Robert Moses' Kin,https://hewlett.org/grants/robert-moses-kin-for-general-operating-support-2/,90000,2017-10-24,Performing Arts,For General Operating Support
Queer Women of Color Media Arts Project,https://hewlett.org/grants/queer-women-of-color-media-arts-project-for-general-operating-support-2/,135000,2017-10-24,Performing Arts,For General Operating Support
Peninsula Ballet Theatre,https://hewlett.org/grants/peninsula-ballet-theatre-for-general-operating-support-2/,120000,2017-10-24,Performing Arts,For General Operating Support
Circus Center,https://hewlett.org/grants/circus-center-for-general-operating-support-2/,100000,2017-10-24,Performing Arts,For General Operating Support
Natural Resources Defense Council,https://hewlett.org/grants/natural-resources-defense-council-for-support-of-the-land-and-wildlife-program-and-the-energy-program/,125000,2017-10-24,Environment,For Support Of The Land And Wildlife Program And The Energy Program
Sierra Club Foundation,https://hewlett.org/grants/sierra-club-foundation-for-the-our-wild-america-program/,300000,2017-10-24,Environment,For The Our Wild America Program
Dancers Group,https://hewlett.org/grants/dancers-group-for-sins-invalid-0/,75000,2017-10-24,Performing Arts,For Sins Invalid
Crucible,https://hewlett.org/grants/crucible-for-general-operating-support-1/,120000,2017-10-24,Performing Arts,For General Operating Support
Bay Area Video Coalition,https://hewlett.org/grants/bay-area-video-coalition-for-general-operating-support-2/,300000,2017-10-24,Performing Arts,For General Operating Support
Alliance for California Traditional Arts,https://hewlett.org/grants/alliance-for-california-traditional-arts-for-the-living-cultures-grants-program-bay-area-projects-2/,675000,2017-10-24,Performing Arts,For The Living Cultures Grants Program Bay Area Projects
Center for Asian American Media,https://hewlett.org/grants/center-for-asian-american-media-for-general-operating-support-2/,210000,2017-10-24,Performing Arts,For General Operating Support
California State Summer School Arts Foundation,https://hewlett.org/grants/california-state-summer-school-arts-foundation-for-general-operating-support-1/,120000,2017-10-24,Performing Arts,For General Operating Support
Dancers Group,https://hewlett.org/grants/dancers-group-for-general-operating-support-1/,330000,2017-10-24,Performing Arts,For General Operating Support
Movimiento de Arte y Cultura Latino Americana,https://hewlett.org/grants/movimiento-de-arte-y-cultura-latino-americana-for-general-operating-support-0/,225000,2017-10-24,Performing Arts,For General Operating Support
Center for Cultural Innovation,https://hewlett.org/grants/center-for-cultural-innovation-for-a-regranting-program-for-individual-performing-artists-in-the-bay-area-2/,300000,2017-10-24,Performing Arts,For A Regranting Program For Individual Performing Artists In The Bay Area
San Francisco Ballet Association,https://hewlett.org/grants/san-francisco-ballet-association-for-general-operating-support-1/,525000,2017-10-24,Performing Arts,For General Operating Support
Luna Dance Institute,https://hewlett.org/grants/luna-dance-institute-for-general-operating-support-1/,120000,2017-10-24,Performing Arts,For General Operating Support
Frameline,https://hewlett.org/grants/frameline-for-general-operating-support-2/,210000,2017-10-24,Performing Arts,For General Operating Support
United States Agency for International Development,https://hewlett.org/grants/united-states-agency-for-international-development-for-support-of-an-evidence-summit-0/,12000,2017-10-24,Global Development and Population,For Support Of An Evidence Summit
Luna Dance Institute,https://hewlett.org/grants/luna-dance-institute-for-general-operating-support-1/,120000,2017-10-24,Performing Arts,For General Operating Support
"API Cultural Center, Inc.",https://hewlett.org/grants/api-cultural-center-inc-for-general-operating-support-2/,90000,2017-10-24,Performing Arts,For General Operating Support
Smuin Ballets/SF,https://hewlett.org/grants/smuin-ballets-sf-for-general-operating-support-2/,150000,2017-10-24,Performing Arts,For General Operating Support
Backcountry Hunters and Anglers,https://hewlett.org/grants/backcountry-hunters-and-anglers-for-general-operating-support-4/,200000,2017-10-24,Environment,For General Operating Support
Zaccho SF,https://hewlett.org/grants/zaccho-sf-for-general-operating-support-3/,145000,2017-10-24,Performing Arts,For General Operating Support
George Mason University Foundation,https://hewlett.org/grants/george-mason-university-foundation-for-support-of-the-national-security-institute/,25000,2017-10-23,Cyber,For Support Of The National Security Institute
Vallejo Symphony Association,https://hewlett.org/grants/vallejo-symphony-association-for-organizational-assessment-and-planning/,25000,2017-10-23,Performing Arts,For Organizational Assessment And Planning
Windward Fund,https://hewlett.org/grants/windward-fund-for-the-water-funders-initiative/,200000,2017-10-23,Environment,For The Water Funders Initiative
New Venture Fund,https://hewlett.org/grants/new-venture-fund-for-a-contraceptive-consumer-advocacy-campaign-by-the-womens-equality-center/,400000,2017-10-20,Global Development and Population,For A Contraceptive Consumer Advocacy Campaign By The Women's Equality Center
"New Voices Pittsburgh, Inc.",https://hewlett.org/grants/new-voices-pittsburgh-inc-for-general-operating-support/,300000,2017-10-20,Global Development and Population,For General Operating Support
GlobalGiving Foundation,https://hewlett.org/grants/globalgiving-foundation-for-the-feedback-labs-program-0/,550000,2017-10-20,Global Development and Population,For The Feedback Labs Program
Development Initiatives Poverty Research America Inc,https://hewlett.org/grants/development-initiatives-poverty-research-america-inc-for-general-operating-support-0/,20000,2017-10-20,Global Development and Population,For General Operating Support
Sonora Ciudadana,https://hewlett.org/grants/sonora-ciudadana-for-a-project-to-strengthen-governance-and-fundraising-activities/,25000,2017-10-20,Global Development and Population,For A Project To Strengthen Governance And Fundraising Activities
Oxfam America,https://hewlett.org/grants/oxfam-america-for-development-of-an-updated-and-adaptable-strategic-planning-process/,30000,2017-10-20,Global Development and Population,For Development Of An Updated And Adaptable Strategic Planning Process
Growth Philanthropy Network,https://hewlett.org/grants/growth-philanthropy-network-for-planning-for-a-collaborative-network-to-seek-scaled-impact-across-a-states-education-system/,25000,2017-10-19,Education,For Planning For A Collaborative Network To Seek Scaled Impact Across A State’s Education System
Stanford University,https://hewlett.org/grants/stanford-university-for-support-of-the-stanford-center-on-philanthropy-and-civil-society-5/,1000000,2017-10-19,Effective Philanthropy,For Support Of The Stanford Center On Philanthropy And Civil Society
Silicon Valley Creates,https://hewlett.org/grants/silicon-valley-creates-for-the-creative-center-at-japantown-square/,250000,2017-10-18,Performing Arts,For The Creative Center At Japantown Square
Take Back Our Republic,https://hewlett.org/grants/take-back-our-republic-for-support-of-a-search-for-and-the-onboarding-of-a-new-deputy-director/,82000,2017-10-18,Madison Initiative,For Support Of A Search For And The Onboarding Of A New Deputy Director
El Campanil Theatre Preservation Foundation,https://hewlett.org/grants/el-campanil-theatre-preservation-foundation-for-general-operating-support-2/,50000,2017-10-18,Performing Arts,For General Operating Support
San Francisco Foundation,https://hewlett.org/grants/san-francisco-foundation-for-the-great-communities-collaborative-0/,400000,2017-10-18,Environment,For The Great Communities Collaborative
Generation Citizen,https://hewlett.org/grants/generation-citizen-for-building-capacity-for-scale-and-financial-sustainability/,50000,2017-10-18,Education,For Building Capacity For Scale And Financial Sustainability
Worldwide Initiatives for Grantmaker Support,https://hewlett.org/grants/worldwide-initiatives-for-grantmaker-support-for-general-operating-support-3/,10000,2017-10-18,Effective Philanthropy,For General Operating Support
The Lugar Center,https://hewlett.org/grants/the-lugar-center-for-general-operating-support-2/,700000,2017-10-18,Madison Initiative,For General Operating Support
Bridgespan Group,https://hewlett.org/grants/bridgespan-group-for-general-operating-support-3/,500000,2017-10-18,Effective Philanthropy,For General Operating Support
Public Policy Institute of California,https://hewlett.org/grants/public-policy-institute-of-california-for-support-of-the-water-policy-center-0/,10000,2017-10-18,Environment,For Support Of The Water Policy Center
University of California at Berkeley,https://hewlett.org/grants/university-of-california-at-berkeley-for-support-to-the-evidence-in-governance-and-politics-network-0/,800000,2017-10-17,Global Development and Population,For Support To The Evidence In Governance And Politics Network
United States Fund for UNICEF,https://hewlett.org/grants/united-states-fund-for-unicef-for-an-evaluation-of-the-data-must-speak-project/,250000,2017-10-17,Global Development and Population,For An Evaluation Of The Data Must Speak Project
The Solar Foundation,https://hewlett.org/grants/the-solar-foundation-for-an-annual-solar-jobs-survey-1/,200000,2017-10-17,Environment,For An Annual Solar Jobs Survey
The Solar Foundation,https://hewlett.org/grants/the-solar-foundation-for-an-annual-solar-jobs-survey-1/,200000,2017-10-17,Environment,For An Annual Solar Jobs Survey
Oxfam America,https://hewlett.org/grants/oxfam-america-for-support-to-oxfam-west-africas-project-enhancing-womens-participation-in-extractives-governance/,400000,2017-10-17,Global Development and Population,For Support To Oxfam West Africa's Project Enhancing Women's Participation In Extractives Governance
Center for U.S. Global Leadership,https://hewlett.org/grants/center-for-u-s-global-leadership-for-general-operating-support-3/,1000000,2017-10-17,Global Development and Population,For General Operating Support
International Budget Partnership,https://hewlett.org/grants/international-budget-partnership-for-building-civil-society-capacity-on-budget-work-in-francophone-west-africa/,600000,2017-10-17,Global Development and Population,For Building Civil Society Capacity On Budget Work In Francophone West Africa
SDSN Association Inc.,https://hewlett.org/grants/sdsn-association-inc-for-the-thematic-research-network-on-data-and-statistics/,450000,2017-10-17,Global Development and Population,For The Thematic Research Network On Data And Statistics
University of California at San Francisco,https://hewlett.org/grants/university-of-california-at-san-francisco-for-support-of-rd-advocacy/,350000,2017-10-17,Global Development and Population,For Support Of R&D Advocacy
George Washington University,https://hewlett.org/grants/george-washington-university-for-support-of-strategic-planning/,50000,2017-10-17,Education,For Support Of Strategic Planning
Plug In America,https://hewlett.org/grants/plug-in-america-for-general-operating-support-1/,200000,2017-10-17,Environment,For General Operating Support
Environmental Defense Fund,https://hewlett.org/grants/environmental-defense-fund-for-promoting-green-development-in-guangdong-province-through-green-supply-chain/,600000,2017-10-16,Environment,For Promoting Green Development In Guangdong Province Through Green Supply Chain
International Development Research Centre,https://hewlett.org/grants/international-development-research-centre-for-support-to-create-a-network-of-open-data-for-development-practitioners-in-west-africa/,100000,2017-10-16,Global Development and Population,For Support To Create A Network Of Open Data For Development Practitioners In West Africa
ONG-3D,https://hewlett.org/grants/ong-3d-for-capacity-building-of-womens-organizations-to-engage-in-decision-making-about-public-services/,450000,2017-10-16,Global Development and Population,For Capacity-building Of Women's Organizations To Engage In Decision-making About Public Services
Sierra Club Foundation,https://hewlett.org/grants/sierra-club-foundation-for-the-beyond-coal-campaign-5/,1000000,2017-10-16,Environment,For The Beyond Coal Campaign
Institute for Climate and Society,https://hewlett.org/grants/institute-for-climate-and-society-for-general-operating-support-0/,1000000,2017-10-15,Environment,For General Operating Support
"Center for Health, Human Rights and Development",https://hewlett.org/grants/center-for-health-human-rights-and-development-for-general-operating-support/,800000,2017-10-12,Global Development and Population,For General Operating Support
"World Faiths Development Dialogue International, Inc.",https://hewlett.org/grants/world-faiths-development-dialogue-international-inc-for-the-development-of-a-regional-interfaith-platform-for-family-planning/,800000,2017-10-12,Global Development and Population,For The Development Of A Regional Interfaith Platform For Family Planning
"African Population and Health Research Center, Inc.",https://hewlett.org/grants/african-population-and-health-research-center-inc-for-support-of-research-on-quality-of-post-abortion-care-services/,800000,2017-10-12,Global Development and Population,For Support Of Research On Quality Of Post-abortion Care Services
Integrity Action,https://hewlett.org/grants/integrity-action-for-the-community-integrity-building-project-in-kenya/,400000,2017-10-12,Global Development and Population,For The Community Integrity Building Project In Kenya
Institute for Fisheries Resources,https://hewlett.org/grants/institute-for-fisheries-resources-for-the-economic-and-environmental-vitality-of-the-klamath-river-basin/,100000,2017-10-11,Environment,For The Economic And Environmental Vitality Of The Klamath River Basin
Equal Justice Works,https://hewlett.org/grants/equal-justice-works-for-a-campaign-to-preserve-public-service-loan-forgiveness/,350000,2017-10-10,Special Projects,For A Campaign To Preserve Public Service Loan Forgiveness
New Venture Fund,https://hewlett.org/grants/new-venture-fund-for-the-open-internet-defense-fund/,400000,2017-10-09,Cyber,For The Open Internet Defense Fund
